Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_5,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI,BB_middle,BB_upper,BB_lower,Volume_SMA,Volume_ratio,High_Low_pct,Price_change,date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_polarity,sentiment_subjectivity,target
2023-11-17 00:00:00-05:00,188.65279989002153,188.78171334674664,186.98691120628507,188.09750366210938,50922700,0.0,0.0,186.3522735595703,177.05493240356446,175.22416229248046,182.64436839935848,178.91618649265817,3.728181906700314,2.3054020495029324,88.2381302479434,177.05493240356446,192.11457574040637,161.99528906672256,58131225.0,0.875995646057691,0.9541871133418544,-0.00010528487914462925,2023-11-17,0.0,0.0,0.0,0.0,0.0,0.0,189.8427276611328
2023-11-20 00:00:00-05:00,188.2958266614519,190.29887250675844,188.2859160609316,189.8427276611328,46505100,0.0,0.0,187.67111206054688,177.98097381591796,175.4686120605469,183.7518082857853,179.72555991254518,4.026248373240122,2.6495713142503705,88.79721541096849,177.98097381591796,193.81415057033635,162.14779706149957,57657475.0,0.806575383330609,1.0603284469342096,0.00927829431568905,2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,189.03952026367188
2023-11-21 00:00:00-05:00,189.80306012274144,189.91213724546566,188.14708208188244,189.03952026367188,38134500,0.0,0.0,188.30573425292968,178.84506759643554,175.75760437011718,184.5653024362294,180.41548290151752,4.149819534711867,2.94962095834267,84.41003473001207,178.84506759643554,195.12811348756267,162.5620217053084,57373370.0,0.6646724778412005,0.9336963832331558,-0.004230909486797163,2023-11-21,0.0,0.0,0.0,0.0,0.0,0.0,189.70387268066406
2023-11-22 00:00:00-05:00,189.88236937575067,191.31026728301677,189.22790671157534,189.70387268066406,39617700,0.0,0.0,188.96018676757814,179.85824432373047,176.10127807617187,185.35585170460396,181.1035117740469,4.252339930557071,3.21016475278555,82.30159323010596,179.85824432373047,196.19894386158157,163.51754478587938,56496405.0,0.701242848991896,1.097690069272727,0.0035143572945253165,2023-11-22,0.0,0.0,0.0,0.0,0.0,0.0,188.37515258789062
2023-11-24 00:00:00-05:00,189.26759079649733,189.2973377280717,187.66119596873028,188.37515258789062,24048300,0.0,0.0,189.01175537109376,181.01344299316406,176.38807403564454,185.82035953280192,181.64215183433163,4.178207698470288,3.403773341922498,80.72959917823094,181.01344299316406,196.24086472399804,165.78602126233008,54167555.0,0.4439613344187309,0.8685549749338883,-0.00700418011502657,2023-11-24,0.0,0.0,0.0,0.0,0.0,0.0,188.1966552734375
2023-11-27 00:00:00-05:00,188.3255687303111,189.0692722786972,187.31412766791345,188.1966552734375,40552600,0.0,0.0,189.03158569335938,182.09386138916017,176.68575958251952,186.1859434928997,182.12767060759873,4.0582728853009655,3.5346732505981917,77.46398154803009,182.09386138916017,196.02278332521573,168.1649394531046,53270230.0,0.761261965641973,0.9326120106829998,-0.000947562945542102,2023-11-27,0.0,0.0,0.0,0.0,0.0,0.0,188.801513671875
2023-11-28 00:00:00-05:00,188.18672364904648,189.47581268170356,187.80990905147505,188.801513671875,38415400,0.0,0.0,188.8233428955078,183.1020278930664,176.9369158935547,186.58833890504974,182.6220293531007,3.9663095519490525,3.621000510868364,74.94413779836334,183.1020278930664,195.79417179681062,170.4098839893222,52634450.0,0.7298527865304948,0.8823571367779113,0.0032139699696505097,2023-11-28,0.0,0.0,0.0,0.0,0.0,0.0,187.78018188476562
2023-11-29 00:00:00-05:00,189.2973359031836,190.47734794655034,187.3835460471391,187.78018188476562,43014200,0.0,0.0,188.57147521972655,184.03535919189454,177.14585845947266,186.77169936346758,183.0041147258166,3.7675846376509696,3.6503173362248855,69.0501883885646,184.03535919189454,195.02785026707113,173.04286811671795,52542860.0,0.8186497651631449,1.6475657166578925,-0.005409552959858122,2023-11-29,0.0,0.0,0.0,0.0,0.0,0.0,188.35531616210938
2023-11-30 00:00:00-05:00,188.2462390361622,188.7222202024886,186.61009727764167,188.35531616210938,48794400,0.0,0.0,188.30176391601563,184.83899993896483,177.43720947265626,187.01533271710477,183.40050001739385,3.6148326997109166,3.643220408922092,71.92802123451649,184.83899993896483,194.4808077396039,175.19719213832576,52135835.0,0.9359090537247557,1.121350311678541,0.0030628060510491384,2023-11-30,0.0,0.0,0.0,0.0,0.0,0.0,189.63449096679688
2023-12-01 00:00:00-05:00,188.73212704562349,189.95179660734362,187.64135580786584,189.63449096679688,45704800,0.0,0.0,188.5536315917969,185.5283447265625,177.78504150390626,187.41828014013433,183.86227712475704,3.5560030153772857,3.625776930213131,66.35155747190375,185.5283447265625,194.4044347200286,176.65225473309638,50554335.0,0.9040728159118303,1.2183652813887764,0.006791285909799161,2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,187.83969116210938
